"","age","accuracy_trajectory_adultzscale","accuracy_trajectory_minmaxscale","latency_trajectory_adultzscale","latency_trajectory_minmaxscale"
"1",8.1,-2.61001273240079,0,2.46173058513735,1
"2",8.2,-2.57060384381762,0.0149715195407987,2.4179055016115,0.982803737619615
"3",8.3,-2.53119646763449,0.0299424645176468,2.37408347818054,0.965608675971558
"4",8.4,-2.49179313238697,0.0449118743345667,2.33026957392075,0.948416800156512
"5",8.5,-2.45239752834666,0.0598783470496326,2.28647107935879,0.931230970860626
"6",8.6,-2.41301443612298,0.074840066499283,2.24269730974574,0.914054843239547
"7",8.7,-2.37364965610225,0.0897948291045727,2.19895940166973,0.896892787112473
"8",8.8,-2.3343099387765,0.104740070339402,2.15527011340411,0.879749808621975
"9",8.9,-2.29500291602468,0.119672890836927,2.11164362945669,0.862631473542226
"10",9,-2.2557370334167,0.134590082107405,2.06809536983855,0.845543832439137
"11",9.1,-2.21652148361739,0.149488151838156,2.02464180461185,0.828493347901881
"12",9.2,-2.17736614097225,0.16436334874459,1.98130027430243,0.811486824075667
"13",9.3,-2.13828149736,0.179211686939946,1.93808881677772,0.794531338731403
"14",9.4,-2.0992785993989,0.194028969790742,1.89502600119213,0.777634178108512
"15",9.5,-2.06036898709393,0.208810813224853,1.85213076959242,0.760802774763416
"16",9.6,-2.02156463401081,0.223552668459517,1.80942228675493,0.744044648648074
"17",9.7,-1.98287788906038,0.238249844117562,1.76691979879531,0.72736735163068
"18",9.8,-1.94432141997334,0.252897527701499,1.72464250105062,0.71077841565472
"19",9.9,-1.90590815854018,0.267490806396955,1.68260941568451,0.69428530471321
"20",10,-1.86765124768571,0.282024687179192,1.64083927940869,0.677895370792384
"21",10.1,-1.82956399044031,0.296494116199032,1.59935044164961,0.661615813913922
"22",10.2,-1.79165980086293,0.310893997427304,1.55816077341928,0.645453646377333
"23",10.3,-1.75395215696214,0.325219210540249,1.51728758707374,0.629415661274452
"24",10.4,-1.71645455565297,0.339464628031495,1.47674756706392,0.61350840531717
"25",10.5,-1.67918046977787,0.353625131539902,1.43655671170106,0.597738155987142
"26",10.6,-1.6421433072105,0.36769562738611,1.39673028587578,0.582110902983496
"27",10.7,-1.60535637205143,0.381671061314366,1.35728278458489,0.566632333911321
"28",10.8,-1.5688328279149,0.395546432439979,1.31822790703567,0.55130782412062
"29",10.9,-1.53258566329613,0.409316806406328,1.27957854101489,0.536142430572953
"30",11,-1.49662765899922,0.422977327759096,1.24134675712881,0.521140889581312
"31",11.1,-1.4609713575964,0.436523231548752,1.20354381244351,0.506307618238518
"32",11.2,-1.42562903488072,0.449949854175737,1.16618016298148,0.491646719320689
"33",11.3,-1.39061267326614,0.463252643495814,1.12926548446301,0.477161989425841
"34",11.4,-1.35593393708142,0.476427168205994,1.09280870061862,0.462856930083206
"35",11.5,-1.32160414969732,0.489469126533944,1.05681801834352,0.448734761547314
"36",11.6,-1.28763427242083,0.502374354256118,1.02130096891755,0.434798438972005
"37",11.7,-1.25403488508489,0.515138832071756,0.986264454473452,0.421050670643863
"38",11.8,-1.22081616825808,0.527758692361478,0.95171479886547,0.407493937942228
"39",11.9,-1.18798788699531,0.540230225360416,0.917657802067056,0.394130516683989
